code,title,level,units,coordinating_unit,source
REIT7840,Research and Development Methods and Practice,Postgraduate Coursework,4.0,Elec Engineering & Comp Science School,https://programs-courses.uq.edu.au/course.html?course_code=REIT7840
REIT7880,Research and Development Methods and Practice,Postgraduate Coursework,8.0,Elec Engineering & Comp Science School,https://programs-courses.uq.edu.au/course.html?course_code=REIT7880
SCIE3121,Research Project I,Undergraduate,2.0,Chemistry & Molec Biosciences,https://programs-courses.uq.edu.au/course.html?course_code=SCIE3121
SCIE3122,Research Project II,Undergraduate,2.0,Chemistry & Molec Biosciences,https://programs-courses.uq.edu.au/course.html?course_code=SCIE3122
SCIE3220,Biomedical Science Research Skills,Undergraduate,2.0,Biomedical Sciences School,https://programs-courses.uq.edu.au/course.html?course_code=SCIE3220
SCIE3221,Biomedical Science Research Project,Undergraduate,2.0,Biomedical Sciences School,https://programs-courses.uq.edu.au/course.html?course_code=SCIE3221
SCIE4000,Research Methods,Undergraduate,2.0,The Environment School,https://programs-courses.uq.edu.au/course.html?course_code=SCIE4000
SCIE4040,Literature Review and Project Research Proposal,Undergraduate,2.0,Agriculture and Food Sustainability School,https://programs-courses.uq.edu.au/course.html?course_code=SCIE4040
SLAT7706,Concepts in Applied Linguistics,Postgraduate Coursework,2.0,Languages & Cultures School,https://programs-courses.uq.edu.au/course.html?course_code=SLAT7706
SLAT7806,Research Methods,Postgraduate Coursework,2.0,Languages & Cultures School,https://programs-courses.uq.edu.au/course.html?course_code=SLAT7806
SLAT7852,Portfolio & Synthesis,Postgraduate Coursework,2.0,Languages & Cultures School,https://programs-courses.uq.edu.au/course.html?course_code=SLAT7852
SLAT7853,Dissertation,Postgraduate Coursework,6.0,Languages & Cultures School,https://programs-courses.uq.edu.au/course.html?course_code=SLAT7853
SOSC6014,Honours Research Thesis,Undergraduate,12.0,Social Science School,https://programs-courses.uq.edu.au/course.html?course_code=SOSC6014
STAT6030,Statistics Honours Research Project,Undergraduate,6.0,Mathematics & Physics School,https://programs-courses.uq.edu.au/course.html?course_code=STAT6030
STAT7013,Project or Thesis I,Postgraduate Coursework,8.0,Mathematics & Physics School,https://programs-courses.uq.edu.au/course.html?course_code=STAT7013
STAT7014,Minor Project A,Postgraduate Coursework,4.0,Mathematics & Physics School,https://programs-courses.uq.edu.au/course.html?course_code=STAT7014
STAT7015,Minor Project B,Postgraduate Coursework,4.0,Mathematics & Physics School,https://programs-courses.uq.edu.au/course.html?course_code=STAT7015
STAT7016,Mini Project A,Postgraduate Coursework,2.0,Mathematics & Physics School,https://programs-courses.uq.edu.au/course.html?course_code=STAT7016
STAT7017,Mini Project B,Postgraduate Coursework,2.0,Mathematics & Physics School,https://programs-courses.uq.edu.au/course.html?course_code=STAT7017
SWSP4266,Field Placement 2,Undergraduate,6.0,"Nursing, Midwifery & Social Wk",https://programs-courses.uq.edu.au/course.html?course_code=SWSP4266
SWSP7155,Field Placement 1,Postgraduate Coursework,6.0,"Nursing, Midwifery & Social Wk",https://programs-courses.uq.edu.au/course.html?course_code=SWSP7155
SWSP7266,Field Placement 2,Postgraduate Coursework,6.0,"Nursing, Midwifery & Social Wk",https://programs-courses.uq.edu.au/course.html?course_code=SWSP7266
