course_code	course_html_link
CHIN2100	https://programs-courses.uq.edu.au/course.html?course_code=CHIN2100
CHIN2200	https://programs-courses.uq.edu.au/course.html?course_code=CHIN2200
CHIN2600	https://programs-courses.uq.edu.au/course.html?course_code=CHIN2600
CHIN2700	https://programs-courses.uq.edu.au/course.html?course_code=CHIN2700
CHIN2750	https://programs-courses.uq.edu.au/course.html?course_code=CHIN2750
CHIN3010	https://programs-courses.uq.edu.au/course.html?course_code=CHIN3010
CHIN3020	https://programs-courses.uq.edu.au/course.html?course_code=CHIN3020
CHIN3110	https://programs-courses.uq.edu.au/course.html?course_code=CHIN3110
CHIN3210	https://programs-courses.uq.edu.au/course.html?course_code=CHIN3210
CHIN3770	https://programs-courses.uq.edu.au/course.html?course_code=CHIN3770
CHIN6014	https://programs-courses.uq.edu.au/course.html?course_code=CHIN6014
CIDH7302	https://programs-courses.uq.edu.au/course.html?course_code=CIDH7302
CIDH7304	https://programs-courses.uq.edu.au/course.html?course_code=CIDH7304
CIVL2210	https://programs-courses.uq.edu.au/course.html?course_code=CIVL2210
CIVL2420	https://programs-courses.uq.edu.au/course.html?course_code=CIVL2420
CIVL3155	https://programs-courses.uq.edu.au/course.html?course_code=CIVL3155
CIVL3220	https://programs-courses.uq.edu.au/course.html?course_code=CIVL3220
CIVL3360	https://programs-courses.uq.edu.au/course.html?course_code=CIVL3360
CIVL3390	https://programs-courses.uq.edu.au/course.html?course_code=CIVL3390
CIVL3520	https://programs-courses.uq.edu.au/course.html?course_code=CIVL3520
CIVL4145	https://programs-courses.uq.edu.au/course.html?course_code=CIVL4145
CIVL4230	https://programs-courses.uq.edu.au/course.html?course_code=CIVL4230
CIVL4280	https://programs-courses.uq.edu.au/course.html?course_code=CIVL4280
CIVL4334	https://programs-courses.uq.edu.au/course.html?course_code=CIVL4334
CIVL4450	https://programs-courses.uq.edu.au/course.html?course_code=CIVL4450
CIVL4460	https://programs-courses.uq.edu.au/course.html?course_code=CIVL4460
CIVL4516	https://programs-courses.uq.edu.au/course.html?course_code=CIVL4516
CIVL4518	https://programs-courses.uq.edu.au/course.html?course_code=CIVL4518
CIVL4522	https://programs-courses.uq.edu.au/course.html?course_code=CIVL4522
CIVL4525	https://programs-courses.uq.edu.au/course.html?course_code=CIVL4525
CIVL4600	https://programs-courses.uq.edu.au/course.html?course_code=CIVL4600
CIVL4606	https://programs-courses.uq.edu.au/course.html?course_code=CIVL4606
CIVL4999	https://programs-courses.uq.edu.au/course.html?course_code=CIVL4999
CIVL6111	https://programs-courses.uq.edu.au/course.html?course_code=CIVL6111
CIVL6112	https://programs-courses.uq.edu.au/course.html?course_code=CIVL6112
CIVL6210	https://programs-courses.uq.edu.au/course.html?course_code=CIVL6210
CIVL6360	https://programs-courses.uq.edu.au/course.html?course_code=CIVL6360
CIVL6415	https://programs-courses.uq.edu.au/course.html?course_code=CIVL6415
CIVL7315	https://programs-courses.uq.edu.au/course.html?course_code=CIVL7315
CIVL7360	https://programs-courses.uq.edu.au/course.html?course_code=CIVL7360
CIVL7501	https://programs-courses.uq.edu.au/course.html?course_code=CIVL7501
CIVL7514	https://programs-courses.uq.edu.au/course.html?course_code=CIVL7514
CIVL7515	https://programs-courses.uq.edu.au/course.html?course_code=CIVL7515
CIVL7603	https://programs-courses.uq.edu.au/course.html?course_code=CIVL7603
COMP1100	https://programs-courses.uq.edu.au/course.html?course_code=COMP1100
COMP2011	https://programs-courses.uq.edu.au/course.html?course_code=COMP2011
COMP2140	https://programs-courses.uq.edu.au/course.html?course_code=COMP2140
COMP2200	https://programs-courses.uq.edu.au/course.html?course_code=COMP2200
COMP3301	https://programs-courses.uq.edu.au/course.html?course_code=COMP3301
COMP3506	https://programs-courses.uq.edu.au/course.html?course_code=COMP3506
COMP3702	https://programs-courses.uq.edu.au/course.html?course_code=COMP3702
COMP3710	https://programs-courses.uq.edu.au/course.html?course_code=COMP3710
COMP3820	https://programs-courses.uq.edu.au/course.html?course_code=COMP3820
COMP3880	https://programs-courses.uq.edu.au/course.html?course_code=COMP3880
COMP3881	https://programs-courses.uq.edu.au/course.html?course_code=COMP3881
COMP4500	https://programs-courses.uq.edu.au/course.html?course_code=COMP4500
COMP4703	https://programs-courses.uq.edu.au/course.html?course_code=COMP4703
COMP7110	https://programs-courses.uq.edu.au/course.html?course_code=COMP7110
COMP7240	https://programs-courses.uq.edu.au/course.html?course_code=COMP7240
COMP7500	https://programs-courses.uq.edu.au/course.html?course_code=COMP7500
COMP7505	https://programs-courses.uq.edu.au/course.html?course_code=COMP7505
COMP7711	https://programs-courses.uq.edu.au/course.html?course_code=COMP7711
COMS4105	https://programs-courses.uq.edu.au/course.html?course_code=COMS4105
COMS6200	https://programs-courses.uq.edu.au/course.html?course_code=COMS6200
COMS7305	https://programs-courses.uq.edu.au/course.html?course_code=COMS7305
COMS7309	https://programs-courses.uq.edu.au/course.html?course_code=COMS7309
COMU1002	https://programs-courses.uq.edu.au/course.html?course_code=COMU1002
COMU1120	https://programs-courses.uq.edu.au/course.html?course_code=COMU1120
COMU1130	https://programs-courses.uq.edu.au/course.html?course_code=COMU1130
COMU1140	https://programs-courses.uq.edu.au/course.html?course_code=COMU1140
COMU1152	https://programs-courses.uq.edu.au/course.html?course_code=COMU1152
COMU2040	https://programs-courses.uq.edu.au/course.html?course_code=COMU2040
COMU2120	https://programs-courses.uq.edu.au/course.html?course_code=COMU2120
COMU2150	https://programs-courses.uq.edu.au/course.html?course_code=COMU2150
COMU2160	https://programs-courses.uq.edu.au/course.html?course_code=COMU2160
COMU2170	https://programs-courses.uq.edu.au/course.html?course_code=COMU2170
COMU2311	https://programs-courses.uq.edu.au/course.html?course_code=COMU2311
COMU3010	https://programs-courses.uq.edu.au/course.html?course_code=COMU3010
COMU3015	https://programs-courses.uq.edu.au/course.html?course_code=COMU3015
COMU3025	https://programs-courses.uq.edu.au/course.html?course_code=COMU3025
COMU3065	https://programs-courses.uq.edu.au/course.html?course_code=COMU3065
COMU3100	https://programs-courses.uq.edu.au/course.html?course_code=COMU3100
